Year;Date;Authors;Title;Domain;n Sources;Citation;RQ1;RQ2;RQ3;Survey;Data Elements;Data Category;Data Parent;Authors' Data Category;Modeling Approaches;Data Source;Data Source Category (Systems);Collection Methods;Category (Method);Init Data Source;Init Data Source Category (Systems);Init Collection Methods;Init Category (Method);Modelling Technique;Forgetting
Year of publication;Full date;Author names;Title of the paper;Domain/group of learners; Number of references ;Google Scholar cites;Yes/No;Yes/No;Yes/No;Yes/No;Machine readable data elements;Mapping of data elements to the corresponding categories;Mapping of data categories to the corresponding supercategories;Categories into which the authors would categorise their components;Concrete modelling approaches that the authors use;Sources to update the model;"Specification of system type for system sources;";Manner of collection of data;implicit/explicit/hybrid;Sources to initialize the model;"Specification of system type for system sources;";Manner of collection of data;Implicit/explicit/hybrid;Modelling approach;Findings for RQ3
2023;27/12/23;Sun, Jerry Chih-Yuan and Tsai, Hsueh-Er and Cheng, Wai Ki Rebecca;Effects of integrating an open learner model with AI-enabled visualization on students' self-regulation strategies usage and behavioral patterns in an online research ethics course;higher education;32;6;Yes;Yes;No;No;knowledge;---;"cognitive characteristics;";---;---;"system; assessment;";"personalized learning environment / recommender system;";"assessment-based; automated collection;";"hybrid;";"self-report; system; external source; assessment;";"personalized learning environment / recommender system;";"self-reporting; assessment-based;";"explicit;";---;---
2023;18/10/23;Miranda, Sunny Kelma Oliveira and Marcelino, Maria José and Silva, Paula Alexandra;An Ontology to Trace the Computer Science Student Profile;higher education;30;0;Yes;Yes;No;No;"motivation; academic performance; learning experiences; attitudes toward programming; personality type; learning styles; parental/social support";"academic / educational data; personal traits; social content data;";"affective & motivational characteristics; master data; (social) interaction data;";---;---;---;---;---;---;"self-report; third party;";---;"self-reporting; third-party reporting;";"explicit;";"ontology; ";---
2023;13/10/23;Lin, Longcheng and Wang, Fang;Adaptive Learning System Based on Knowledge Graph;not specified;13;0;Yes;Yes;No;No;"personal information; learning preference; learning style; learning behavior;  interest preferences";"demographic & biographic data; personal traits; (learning) behaviour data;";"master data; (learning) output data;";---;---;"system; assessment;";"adaptive learning system;";"third-party reporting; automated collection; assessment-based;";"hybrid;";"self-report;";---;"self-reporting;";"explicit;";"ontology;";---
2023;20/09/23;Ayari, Asma and Chaabouni, Mariem and Ghezala, Henda Ben;New Learner Model for Intelligent And Adaptive E-learning System;not specified;40;0;Yes;Yes;No;No;"demographic information; interests; background; experience; learning style; learning situation; learnin situation; Learning materials; emotion; motivation; engagement; interaction; level of education; previous courses; certifications; skills; knowledge; past employment; work experience; heart rate; eye-tracker";"demographic & biographic data; personal traits; academic / educational data; contextual data;  resource / assessment data; interaction data; physiological data;";"master data; (system) environmental data; (learning) output data; affective & motivational characteristics; (social) interaction data; cognitive characteristics; psychomotor & physiological data;";static dimensions & dynamic dimensions;---;"self-report; system; observation source; assessment;";"adaptive learning system;";"self-reporting; automated collection; third-party reporting; observation;";"hybrid;";"self-report;";---;"self-reporting;";"explicit;";"predictive modeling; uncertainty modeling; classification;";---
2023;06/09/23;Kakizaki, Toma and Oeda, Shinichi;Student modeling considering learning behavior history with deep factorization machines;not specified;8;0;No;No;No;No;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---
2023;06/09/23;Oeda, Shinichi and Hasegawa, Shunichi;A student modeling method combining Deep Learning and forgetting models with Knowledge Tracing;not specified;14;0;No;No;Yes;No;---;---;---;---;---;---;---;---;---;---;---;---;---;---;IRT with Ebbinghaus Forgetting Curve
2023;10/08/23;Vildjiounaite, Elena and Kallio, Johanna and Kantorovitch, Julia and Kinnula, Atte and Ferreira, Simão and Rodrigues, Matilde A. and Rocha, Nuno;Challenges of Learning Human Digital Twin: Case Study of Mental Wellbeing: Using Sensor Data and Machine Learning to Create HDT;adult learning;35;4;No;No;No;Yes;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---
2023;02/08/23;Pratiwi, Oktariani Nurul and Fa’rifah, Riska Yanu and Pamungkas, Iqbal Rahmadhian and Megasari, Rani and Callista, Annisa Syafarani;Adaptive E-Assessment Framework;school;30;0;Yes;No;No;No;"learning style; cognitive style; problem solving time";"personal traits;";"master data; cognitive characteristics;";---;---;---;---;---;---;---;---;---;---;---;---
2023;01/07/23;Corredor, Carolina Mejía and Franco, Maryuri Agudelo and del Pilar García Gutiérrez, Zaily;Adaptive System for Non-Literate Older Adult Learning;adult learning;13;0;Yes;Yes;No;No;"demographic; interests; learning preferences; cognitive levels; competences; learning goals";"demographic & biographic data; personal traits;";"master data; cognitive characteristics;";---;---;"system;";"adaptive learning system;";"automated collection;";"implicit;";---;---;---;---;---;---
