"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"A group division method based on collaborative learning elements","L. Chen; Q. -h. Yang","College of Computer Information Engineering, Jiangxi Normal University, NanChang 330022, China; College of Computer Information Engineering, Jiangxi Normal University, NanChang 330022, China","The 26th Chinese Control and Decision Conference (2014 CCDC)","14 Jul 2014","2014","","","1701","1705","In order to achieve collaborative learning in network learning system, two primary questions must be solved. First is how to choose and quantify the proper features to build user model. Second is how to divide the users into optimal teams to play the best effectiveness of collaborative learning. Based on the collaborative learning theory, its practical research, and the conditions of network learning system, the paper selects learning interest and knowledge level as user's features, using the methods of educational psychology measurement to quantify these two features so as to establish user model. Considering the elements and some practical teaching cases of collaborative learning, the paper derives the requirements of collaborative learning's basic unit: the collaboration group, and defines three features of collaborative group as: the cohesion within group, the hierarchy within group and the uniformity among groups. Then, the paper builds the group model and put forward the objective function of collaborative learning grouping scheme. Finally, from the perspective of clustering and combinatorial optimization, the paper investigates how to divide the users into collaborative learning's groups. As a result, it comes up the method as follows. Above all, according to the users' learning interest, it uses K-means to cluster the users into different clusters. Then in each cluster, genetic algorithm is adopted for collaborative learning's group division according to the users' knowledge level. Thus, the paper achieves the automatic group division to find the approximate optimal collaboration learning groups. Lastly, through the simulation experiments, the validity of the method is proved.","1948-9447","978-1-4799-3708-0","10.1109/CCDC.2014.6852443","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6852443","user model;collaborative learning;group model;automatic grouping","Collaborative work;Genetic algorithms;Linear programming;Vectors;Psychology;Collaboration;Learning systems","","5","","12","IEEE","14 Jul 2014","","","IEEE","IEEE Conferences"
"K.E.M.Cs: A set of student's characteristics for modeling in adaptive programming tutoring systems","K. Chrysafiadi; M. Virvou","Department of Informatics, University of Piraeus, Piraeus, Greece; Department of Informatics, University of Piraeus, Piraeus, Greece","IISA 2014, The 5th International Conference on Information, Intelligence, Systems and Applications","18 Aug 2014","2014","","","106","110","In this paper a set of student's characteristics that have to be considered in an adaptive and/or personalized programming tutoring system is presented. This set is called K.E.M.Cs and includes: knowledge, errors, motivation and cognitive states. It allows the system to identify the variety of backgrounds of prospective learners of programming, their misconceptions, needs and learning pace. The modeling of K.E.M.C.s is performed through a combination of different student modeling techniques: overlay, stereotypes, fuzzy logic and OCC cognitive theory. The gain of this approach is that the particular student model represents a sufficiently large part of the complex dimensions of a real student of programming. Therefore, it can be the base for the improvement of the quality of the learning process.","","978-1-4799-6171-9","10.1109/IISA.2014.6878786","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6878786","adaptivity;personalization;programming tutoring systems;student's characteristics;student model","Adaptation models;Computer languages;Programming profession;Artificial intelligence;Education;Adaptive systems","","","","33","IEEE","18 Aug 2014","","","IEEE","IEEE Conferences"
"A method to support dynamic domain model based on user interests for effective language learning","I. P. Quijano; K. J. Espinosa; C. Troussas","Department of Computer Science, University of the Philippines Cebu Lahug, Cebu City, Philippines; Department of Computer Science, University of the Philippines Cebu Lahug, Cebu City, Philippines; Department of Informatics, University of Piraues, Piraeus, Greece","IISA 2014, The 5th International Conference on Information, Intelligence, Systems and Applications","18 Aug 2014","2014","","","322","325","This study aims to explore a method that can generate a dynamic domain model based on the user's interests and status updates. To get the most relevant interests of an individual the following algorithms were used after the study by M. Timonen: Inverse Fragment Length, Category Probability, Binormal Separation, Fragment Length Weighted Category Distribution and Time Sensitive Term Weighting. This study has shown that it is possible to obtain a dynamic user model representation through their social media profile. This was done by implementing a proof-of-concept application on news recommender system. Future work for this study includes evaluating this method in language learning.","","978-1-4799-6171-9","10.1109/IISA.2014.6878766","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6878766","TF-IDF;domain model;ITS","Text mining;Media;Feeds;Androids;Humanoid robots;Java;Computational modeling","","1","","3","IEEE","18 Aug 2014","","","IEEE","IEEE Conferences"
"Formative Assessment and Meaningful Learning Analytics","S. Bull; M. D. Johnson; C. D. Epp; D. Masci; M. Alotaibi; S. Girard","Electronic, Electrical and Computer Engineering, University of Birmingham, United Kingdom; Electronic, Electrical and Computer Engineering, University of Birmingham, United Kingdom; Electronic, Electrical and Computer Engineering, University of Birmingham, United Kingdom; Electronic, Electrical and Computer Engineering, University of Birmingham, United Kingdom; Electronic, Electrical and Computer Engineering, University of Birmingham, United Kingdom; Electronic, Electrical and Computer Engineering, University of Birmingham, United Kingdom","2014 IEEE 14th International Conference on Advanced Learning Technologies","22 Sep 2014","2014","","","327","329","We introduce an independent open learner model for formative assessment and learning analytics based on developments in technology use in learning, also maintaining more traditional numerical and qualitative feedback options.","2161-377X","978-1-4799-4038-7","10.1109/ICALT.2014.100","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6901472","","Data models;Data visualization;Analytical models;Adaptation models;Computational modeling;Numerical models;Education","","9","","10","IEEE","22 Sep 2014","","","IEEE","IEEE Conferences"
"Student Model for an Intelligent Language Tutoring System","P. D. Reddy; M. Sasikumar","SIES Graduate School of Technology, Navi Mumbai, India; CDAC, Mumbai, India","2014 IEEE 14th International Conference on Advanced Learning Technologies","22 Sep 2014","2014","","","441","443","Effective teaching-learning process consists of identifying gaps in the student knowledge and filling the gaps by personalized teaching, which is difficult in classroom teaching. An Intelligent Tutoring System (ITS) provides personalized instructions to the students based on the student knowledge level and learning preferences. In ITS, the student model plays an important role, as it represents the student knowledge state, which is used to generate lessons, problems, feedback and guidance in a personalized manner. This paper describes student model for an Intelligent Language Tutoring System to learn verb/noun inflection grammar rules of Telugu language. The student model is used to represent the confidence level of a student in applying each grammar rule, which is used by tutor to generate problems to improve in weak areas. A pilot study is done to measure the effectiveness of the system.","2161-377X","978-1-4799-4038-7","10.1109/ICALT.2014.132","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6901506","Effective Teaching-learning;Intelligent Language Tutoring System;Student Model;Learning by doing","Artificial intelligence;Grammar;Education;Analytical models;Computational modeling;Vocabulary;Context","","7","","12","IEEE","22 Sep 2014","","","IEEE","IEEE Conferences"
"Comparing LMS and AEHS: Challenges for Improvement with Exploitation of Data Mining","I. Karagiannis; M. Satratzemi","Department of Applied Informatics, University of Macedonia, Thessaloniki, Greece; Department of Applied Informatics, University of Macedonia, Thessaloniki, Greece","2014 IEEE 14th International Conference on Advanced Learning Technologies","22 Sep 2014","2014","","","65","66","E-learning systems can be divided in two categories according to the personalization level they offer. LMS and AEHS are representative systems of the above categories. LMS have more capabilities than AEHS but, on the other hand, AEHS consider student's differences and offer personalized learning to achieve better results. Our research findings led us to embed adaptivity techniques in Moodle, with adoption of a hybrid dynamic user model, which is built with techniques that are based both upon knowledge and behaviour of learner.","2161-377X","978-1-4799-4038-7","10.1109/ICALT.2014.29","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6901400","AEHS;LMS;distance education;educational systems;e-learning;educational data mining;learning styles;adaptivity;dynamic student modelling","Adaptation models;Data mining;Least squares approximations;Adaptive systems;Data models;Heuristic algorithms;Electronic learning","","5","","4","IEEE","22 Sep 2014","","","IEEE","IEEE Conferences"
"Discussion around Individual Open Learner Models: Understanding or Copying?","M. Alotaibi; S. Bull","Electronic, Electrical and Computer Engineering, University of Birmingham, UK; Electronic, Electrical and Computer Engineering, University of Birmingham, UK","2014 IEEE 14th International Conference on Advanced Learning Technologies","22 Sep 2014","2014","","","82","83","In this paper we investigate whether learners at university level can appropriately collaborate with peers around individual Open Learner Models (OLM). We describe results from three groups of students who used Facebook alongside an independent OLM to discuss their individual OLM. The results suggest that students can collaborate appropriately when they discuss their learning on Facebook and in face-to-face settings, with the aim to understand.","2161-377X","978-1-4799-4038-7","10.1109/ICALT.2014.34","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6901405","Learner Model;Collaborative Learning;Online Social Networks","Facebook;Educational institutions;Adaptive systems;Collaborative work;Collaboration;Computational modeling","","","","6","IEEE","22 Sep 2014","","","IEEE","IEEE Conferences"
"Learner Modeling in Academic Networks","M. A. Chatti; D. Dugoija; H. Thüs; U. Schroeder","Lnformatik 9 (Learning Technologies), RWTH Aachen University, Germany; Rheinisch-Westfalische Technische Hochschule Aachen, Aachen, Nordrhein-Westfalen, DE; Lnformatik 9 (Learning Technologies), RWTH Aachen University, Germany; Lnformatik 9 (Learning Technologies), RWTH Aachen University, Germany","2014 IEEE 14th International Conference on Advanced Learning Technologies","22 Sep 2014","2014","","","117","121","Learning analytics (LA) deals with the development of methods that harness educational data sets to support the learning process. To achieve particular learner entered LA objectives such as intelligent feedback, adaptation, personalization, or recommendation, learner modeling is a crucial task. Learner modeling enables to achieve adaptive and personalized learning environments, which are able to take into account the heterogeneous needs of learners and provide them with tailored learning experience suited for their unique needs. In this paper, we focus on learner modeling in academic networks. We present theoretical, design, implementation, and evaluation details of PALM, a service for personal academic learner modeling. The primary aim of PALM is to harness the distributed publication information to build an academic learner model.","2161-377X","978-1-4799-4038-7","10.1109/ICALT.2014.42","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6901413","personalization;adaptation;learner modeling;interest mining;learning analytics","Adaptation models;Data mining;Arrays;Abstracts;Social network services;Analytical models;Data models","","3","","8","IEEE","22 Sep 2014","","","IEEE","IEEE Conferences"
"Learners' Working Memory Capacity Modeling Based on Fuzzy Logic","M. A. Khenissi; F. Essalmi; M. Jemni; Kinshuk","Research Laboratory of Technologies of Information and Communication & Electrical Engineering (LaTICE), University of TUNIS, Tunisia; Research Laboratory of Technologies of Information and Communication & Electrical Engineering (LaTICE), University of TUNIS, Tunisia; Research Laboratory of Technologies of Information and Communication & Electrical Engineering (LaTICE), University of TUNIS, Tunisia; SChool of Computing & Information Systems, Athabasca University, Canada","2014 IEEE 14th International Conference on Advanced Learning Technologies","22 Sep 2014","2014","","","520","521","Recently, many works have investigated the identification of learner's working memory capacity (WMC) from his/her behavior in learning systems. These works used a mechanism, called dichotomic node network, able to create representation of the learner's WMC taking into account different theories from the literature. However, this mechanism could only provide a binary representation of learner's WMC (High or Low), whereas the WMC is estimated by 7 (plus or minus two) items. This paper presents an alternative based on fuzzy logic for precisely estimate the WMC of the learner while using learning system or playing educational games. The proposed approach can improve the accuracy of learner model and then enable the fine grained recommendations that positively affect the learners' learning.","2161-377X","978-1-4799-4038-7","10.1109/ICALT.2014.153","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6901528","Learner Model;Working Memory Capacity;Fuzzy Logic","Pragmatics;Fuzzy logic;Learning systems;Navigation;Conferences;Educational institutions;Games","","10","","8","IEEE","22 Sep 2014","","","IEEE","IEEE Conferences"
"How Effective are Intelligent Tutoring Systems in Computer Science Education?","J. C. Nesbit; O. O. Adesope; Q. Liu; W. Ma","Faculty of Education, Simon Fraser University, Burnaby, Canada; Faculty of Education, Washington State University, Pullman, U.S.A; Faculty of Education, Simon Fraser University, Burnaby, Canada; Faculty of Education, Simon Fraser University, Burnaby, Canada","2014 IEEE 14th International Conference on Advanced Learning Technologies","22 Sep 2014","2014","","","99","103","A meta-analysis on the effectiveness of Intelligent Tutoring Systems (ITS) in computer science education compared the learning outcomes of ITS and non-ITS instruction. A search of the literature found 22 effect sizes (involving 1,447 participants) that met the pre-defined inclusion criteria. Although most of the ITS were used to teach programming, other topics such as database design and computer literacy were also represented. There was a significant overall effect size favoring the use of ITS. There was a significant advantage of ITS over teacher-led classroom instruction and non-ITS computer-based instruction. ITS were more effective than the instructional methods to which they were compared regardless of whether they modeled misconceptions and regardless of whether they were the primary means of instruction or were an integrated component of learning activities that included other means of instruction.","2161-377X","978-1-4799-4038-7","10.1109/ICALT.2014.38","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6901409","tutor;student model;adaptive instruction;effect size;constraint-based;Bayesian network","Artificial intelligence;Computational modeling;Programming profession;Adaptation models;Computer science education","","30","","32","IEEE","22 Sep 2014","","","IEEE","IEEE Conferences"
